            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 22/01/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Earners (persons),,,,,Median age of earners (years),,,,,Sum ($),,,,,Median ($),,,,,Mean ($),,,,,,,,,,,,,
103031071,Lithgow Region," 4,132 "," 4,080 "," 4,208 "," 4,337 ","4,387", 48 , 48 , 48 , 48 , 47 ," 225,802,600 "," 218,532,469 "," 228,604,509 "," 239,825,991 ","252,046,931"," 43,018 "," 43,686 "," 44,640 "," 45,391 ","47,877"," 54,647 "," 53,562 "," 54,326 "," 55,298 ","57,453",,,,,,,,,
103031072,Mudgee," 6,230 "," 6,254 "," 6,441 "," 6,579 ","6,811", 43 , 43 , 43 , 43 , 42 ," 369,363,112 "," 378,409,674 "," 392,155,923 "," 421,506,609 ","454,510,611"," 44,318 "," 45,818 "," 46,550 "," 49,604 ","52,277"," 59,288 "," 60,507 "," 60,884 "," 64,068 ","66,732",,,,,,,,,
103031073,Mudgee Region - East," 1,439 "," 1,413 "," 1,444 "," 1,499 ","1,434", 50 , 50 , 51 , 50 , 50 ," 62,751,869 "," 63,653,542 "," 66,489,281 "," 71,068,249 ","71,956,409"," 35,000 "," 35,470 "," 36,084 "," 36,374 ","39,023"," 43,608 "," 45,049 "," 46,045 "," 47,410 ","50,179",,,,,,,,,
103031074,Mudgee Region - West," 4,968 "," 4,895 "," 5,133 "," 5,439 ","5,488", 47 , 47 , 47 , 47 , 47 ," 248,449,570 "," 253,416,420 "," 267,358,425 "," 297,284,632 ","299,359,236"," 37,213 "," 38,923 "," 40,394 "," 41,585 ","41,921"," 50,010 "," 51,770 "," 52,086 "," 54,658 ","54,548",,,,,,,,,
103031075,Wollangambe - Wollemi, np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np ,np, np , np , np , np , np ,,,,,,,,,
103041076,Blayney," 3,803 "," 3,714 "," 3,936 "," 3,987 ","4,058", 46 , 46 , 47 , 47 , 47 ," 207,381,791 "," 204,271,158 "," 221,106,408 "," 224,493,024 ","227,406,362"," 44,079 "," 45,325 "," 45,820 "," 47,530 ","48,139"," 54,531 "," 55,000 "," 56,175 "," 56,306 ","56,039",,,,,,,,,
103041077,Orange," 9,440 "," 9,530 "," 9,583 "," 9,860 ","9,909", 44 , 44 , 43 , 43 , 43 ," 513,936,438 "," 529,351,669 "," 542,144,121 "," 578,665,263 ","595,631,863"," 44,963 "," 45,920 "," 46,006 "," 48,389 ","50,067"," 54,442 "," 55,546 "," 56,574 "," 58,688 ","60,110",H,,,,,,,,
103041078,Orange - North," 11,097 "," 10,703 "," 11,555 "," 11,862 ","12,309", 41 , 40 , 41 , 41 , 41 ," 675,509,600 "," 669,389,817 "," 734,369,614 "," 791,371,554 ","818,863,071"," 50,844 "," 52,125 "," 53,064 "," 54,528 ","56,000"," 60,873 "," 62,542 "," 63,554 "," 66,715 ","66,526",,,,,,,,,
103041079,Orange Region," 6,317 "," 6,404 "," 6,496 "," 6,678 ","6,711", 46 , 46 , 46 , 47 , 46 ," 368,521,116 "," 375,003,751 "," 393,681,903 "," 412,265,925 ","406,374,581"," 45,917 "," 45,472 "," 46,337 "," 47,842 ","48,355"," 58,338 "," 58,558 "," 60,604 "," 61,735 ","60,554",,,,,,,,,
104011080,Grafton," 8,387 "," 8,573 "," 8,560 "," 8,878 ","8,987", 46 , 46 , 45 , 45 , 45 ," 370,582,688 "," 402,416,223 "," 406,199,009 "," 434,087,584 ","456,991,716"," 38,778 "," 40,464 "," 41,259 "," 42,485 ","44,394"," 44,185 "," 46,940 "," 47,453 "," 48,895 ","50,850",,,,,,,,,
104011081,Grafton Region," 7,128 "," 7,180 "," 7,581 "," 7,877 ","8,080", 50 , 50 , 50 , 50 , 49 ," 284,854,879 "," 301,280,966 "," 326,722,080 "," 351,353,341 ","368,033,070"," 33,833 "," 35,627 "," 36,791 "," 38,550 ","39,600"," 39,963 "," 41,961 "," 43,097 "," 44,605 ","45,549",,,,,,,,,
104011082,Maclean - Yamba - Iluka," 7,647 "," 7,851 "," 8,138 "," 8,371 ","8,664", 51 , 51 , 51 , 50 , 51 ," 310,067,446 "," 335,796,653 "," 360,059,591 "," 390,555,355 ","423,492,811"," 31,689 "," 33,477 "," 34,583 "," 36,695 ","37,994"," 40,548 "," 42,771 "," 44,244 "," 46,656 ","48,880",,,,,,,,,
104021083,Bellingen," 3,064 "," 3,104 "," 3,165 "," 3,292 ","3,388", 49 , 50 , 49 , 49 , 49 ," 131,764,736 "," 144,289,562 "," 146,617,578 "," 148,746,467 ","160,410,382"," 33,808 "," 35,751 "," 36,526 "," 36,038 ","38,017"," 43,004 "," 46,485 "," 46,325 "," 45,184 ","47,347",,,,,,,,,
104021084,Coffs Harbour - North," 9,081 "," 9,121 "," 9,266 "," 9,233 ","9,530", 45 , 45 , 45 , 45 , 44 ," 428,346,167 "," 434,200,590 "," 447,248,267 "," 452,542,961 ","479,365,654"," 38,548 "," 39,631 "," 39,950 "," 41,271 ","42,784"," 47,169 "," 47,604 "," 48,268 "," 49,014 ","50,301",,,,,,,,,
104021085,Coffs Harbour - South," 5,158 "," 5,180 "," 5,428 "," 5,521 ","5,557", 45 , 45 , 44 , 45 , 45 ," 255,218,084 "," 252,893,438 "," 272,772,123 "," 283,636,466 ","298,056,123"," 39,287 "," 40,117 "," 40,754 "," 42,240 ","44,190"," 49,480 "," 48,821 "," 50,253 "," 51,374 ","53,636",,,,,,,,,
104021086,Coramba - Nana Glen - Bucca," 2,147 "," 2,164 "," 2,243 "," 2,323 ","2,346", 47 , 47 , 47 , 47 , 48 ," 106,872,362 "," 101,092,035 "," 107,765,344 "," 115,315,852 ","119,297,362"," 38,055 "," 39,423 "," 41,173 "," 41,453 ","43,889"," 49,778 "," 46,715 "," 48,045 "," 49,641 ","50,851",,,,,,,,,
104021087,Dorrigo," 1,632 "," 1,694 "," 1,696 "," 1,674 ","1,689", 53 , 53 , 53 , 53 , 53 ," 59,351,574 "," 65,775,450 "," 68,514,006 "," 65,600,062 ","65,025,337"," 28,889 "," 30,689 "," 32,241 "," 31,851 ","31,594"," 36,367 "," 38,828 "," 40,397 "," 39,188 ","38,499",,,,,,,,,
104021088,Korora - Emerald Beach," 5,208 "," 5,349 "," 5,640 "," 5,863 ","6,110", 47 , 47 , 47 , 47 , 47 ," 286,015,644 "," 303,393,693 "," 331,220,520 "," 354,916,403 ","374,426,820"," 40,847 "," 42,005 "," 43,845 "," 45,767 ","47,196"," 54,919 "," 56,720 "," 58,727 "," 60,535 ","61,281",,,,,,,,,
104021089,Sawtell - Boambee," 10,387 "," 10,518 "," 10,656 "," 10,897 ","10,999", 46 , 46 , 46 , 46 , 46 ," 493,638,397 "," 513,195,965 "," 520,748,894 "," 546,816,837 ","572,906,548"," 40,399 "," 41,234 "," 41,955 "," 43,199 ","44,419"," 47,525 "," 48,792 "," 48,869 "," 50,180 ","52,087",,,,,,,,,
104021090,Urunga," 2,365 "," 2,437 "," 2,463 "," 2,461 ","2,492", 51 , 51 , 51 , 51 , 51 ," 107,045,040 "," 112,764,223 "," 114,807,497 "," 114,278,629 ","120,740,602"," 38,455 "," 39,685 "," 39,066 "," 38,106 ","40,566"," 45,262 "," 46,272 "," 46,613 "," 46,436 ","48,451",,,,,,,,,
104021091,Woolgoolga - Arrawarra," 6,747 "," 7,127 "," 7,333 "," 7,467 ","7,906", 44 , 44 , 43 , 44 , 43 ," 287,271,724 "," 302,366,813 "," 314,576,030 "," 338,207,005 ","374,068,058"," 34,008 "," 35,010 "," 35,436 "," 37,111 ","37,935"," 42,578 "," 42,426 "," 42,899 "," 45,294 ","47,314",,,,,,,,,
105011092,Bourke - Brewarrina," 1,800 "," 1,713 "," 1,751 "," 1,805 ","1,795", 44 , 45 , 44 , 44 , 43 ," 90,101,915 "," 90,111,688 "," 102,226,960 "," 96,068,796 ","94,063,761"," 44,812 "," 48,189 "," 49,984 "," 48,627 ","49,223"," 50,057 "," 52,605 "," 58,382 "," 53,224 ","52,403",,,,,,,,,
105011093,Cobar," 2,420 "," 2,362 "," 2,409 "," 2,382 ","2,288", 41 , 41 , 41 , 41 , 42 ," 170,157,974 "," 160,715,845 "," 172,057,121 "," 165,276,726 ","148,186,502"," 57,202 "," 56,039 "," 58,291 "," 57,143 ","56,452"," 70,313 "," 68,042 "," 71,423 "," 69,386 ","64,767",,,,,,,,,
105011094,Coonamble," 1,875 "," 1,703 "," 1,847 "," 1,899 ","1,900", 46 , 46 , 46 , 47 , 46 ," 88,240,875 "," 87,644,942 "," 124,376,302 "," 93,551,818 ","61,861,588"," 41,197 "," 43,463 "," 47,274 "," 43,039 ","37,076"," 47,062 "," 51,465 "," 67,340 "," 49,264 ","32,559",,,,,,,,,
105011095,Nyngan - Warren," 2,910 "," 2,912 "," 2,934 "," 2,834 ","2,783", 46 , 45 , 45 , 46 , 46 ," 174,991,609 "," 169,047,500 "," 180,736,589 "," 156,699,591 ","137,780,823"," 47,832 "," 47,446 "," 46,750 "," 46,508 ","43,400"," 60,135 "," 58,052 "," 61,601 "," 55,293 ","49,508",,,,,,,,,
105011096,Walgett - Lightning Ridge," 2,716 "," 2,350 "," 2,665 "," 2,713 ","2,536", 45 , 44 , 44 , 44 , 45 ," 79,109,546 "," 76,721,267 "," 164,381,547 "," 124,499,959 ","74,299,803"," 32,548 "," 35,986 "," 41,025 "," 38,840 ","36,962"," 29,127 "," 32,647 "," 61,682 "," 45,890 ","29,298",,,,,,,,,
105021097,Broken Hill," 8,548 "," 8,341 "," 8,311 "," 8,523 ","8,482", 45 , 45 , 45 , 44 , 44 ," 473,775,080 "," 473,523,244 "," 495,920,447 "," 506,001,826 ","513,456,526"," 46,595 "," 48,050 "," 49,696 "," 50,631 ","52,690"," 55,425 "," 56,771 "," 59,670 "," 59,369 ","60,535",,,,,,,,,
105021098,Far West, 918 , 880 , 892 , 912 , 862 , 47 , 47 , 47 , 46 , 47 ," 54,729,173 "," 53,189,952 "," 64,250,316 "," 55,887,459 ","31,332,889"," 45,751 "," 45,829 "," 48,452 "," 45,288 ","40,244"," 59,618 "," 60,443 "," 72,030 "," 61,280 ","36,349",,,,,,,,,
105031099,Coonabarabran," 3,751 "," 3,525 "," 3,723 "," 3,727 ","3,642", 49 , 49 , 49 , 49 , 49 ," 164,468,043 "," 162,456,173 "," 176,990,573 "," 170,299,003 ","137,575,970"," 36,679 "," 36,956 "," 38,509 "," 37,147 ","35,526"," 43,846 "," 46,087 "," 47,540 "," 45,693 ","37,775",,,,,,,,,
105031100,Dubbo - East," 5,877 "," 5,692 "," 5,798 "," 5,945 ","5,996", 41 , 42 , 41 , 41 , 41 ," 320,596,983 "," 316,226,811 "," 327,330,284 "," 340,741,035 ","352,884,738"," 45,636 "," 47,182 "," 47,391 "," 49,033 ","51,831"," 54,551 "," 55,556 "," 56,456 "," 57,316 ","58,853",,,,,,,,,
105031101,Dubbo - South," 9,152 "," 9,271 "," 9,729 "," 10,018 ","10,451", 41 , 41 , 40 , 40 , 40 ," 492,368,742 "," 511,332,019 "," 551,836,618 "," 580,216,319 ","628,772,833"," 46,632 "," 48,151 "," 49,472 "," 50,937 ","53,491"," 53,799 "," 55,154 "," 56,721 "," 57,917 ","60,164",,,,,,,,,
105031102,Dubbo - West," 4,344 "," 4,436 "," 4,705 "," 4,895 ","5,209", 40 , 41 , 40 , 40 , 39 ," 234,181,837 "," 246,289,145 "," 267,816,165 "," 286,605,258 ","313,289,086"," 45,545 "," 46,757 "," 47,953 "," 49,650 ","51,815"," 53,909 "," 55,521 "," 56,922 "," 58,551 ","60,144",,,,,,,,,
105031103,Dubbo Region," 3,247 "," 2,979 "," 3,271 "," 3,535 ","3,479", 46 , 46 , 46 , 46 , 46 ," 165,377,358 "," 156,424,674 "," 177,108,824 "," 193,972,814 ","180,256,185"," 43,234 "," 44,921 "," 46,577 "," 47,314 ","48,018"," 50,932 "," 52,509 "," 54,145 "," 54,872 ","51,813",,,,,,,,,
105031104,Gilgandra," 2,187 "," 2,175 "," 2,174 "," 2,228 ","2,161", 47 , 48 , 47 , 47 , 48 ," 98,777,822 "," 99,818,734 "," 104,766,933 "," 97,269,199 ","79,722,531"," 36,790 "," 39,418 "," 42,140 "," 39,134 ","35,379"," 45,166 "," 45,894 "," 48,191 "," 43,658 ","36,891",,,,,,,,,
105031105,Narromine," 3,457 "," 3,403 "," 3,390 "," 3,451 ","3,460", 46 , 46 , 46 , 46 , 46 ," 166,259,976 "," 168,874,731 "," 177,810,552 "," 176,370,073 ","161,098,941"," 40,209 "," 42,194 "," 43,745 "," 44,073 ","42,435"," 48,094 "," 49,625 "," 52,451 "," 51,107 ","46,560",,,,,,,,,
105031106,Wellington," 3,822 "," 4,385 "," 4,142 "," 3,925 ","3,920", 47 , 46 , 46 , 47 , 47 ," 178,031,409 "," 197,915,894 "," 199,942,054 "," 185,251,632 ","174,676,171"," 39,393 "," 36,450 "," 40,084 "," 41,586 ","40,320"," 46,581 "," 45,135 "," 48,272 "," 47,198 ","44,560",,,,,,,,,
106011107,Branxton - Greta - Pokolbin," 5,516 "," 5,668 "," 5,900 "," 6,240 ","6,622", 43 , 42 , 42 , 42 , 41 ," 370,198,443 "," 363,446,297 "," 384,163,494 "," 409,749,475 ","460,068,243"," 50,743 "," 49,868 "," 51,662 "," 52,083 ","54,551"," 67,114 "," 64,122 "," 65,112 "," 65,665 ","69,476",,,,,,,,,
106011108,Cessnock," 9,083 "," 9,316 "," 9,454 "," 9,761 ","9,995", 41 , 41 , 41 , 41 , 40 ," 495,933,928 "," 500,816,466 "," 511,916,244 "," 542,635,629 ","568,196,874"," 43,193 "," 43,480 "," 45,013 "," 45,882 ","47,926"," 54,600 "," 53,759 "," 54,148 "," 55,592 ","56,848",,,,,,,,,
106011109,Cessnock Region," 4,072 "," 4,128 "," 4,331 "," 4,514 ","4,688", 46 , 46 , 46 , 46 , 45 ," 229,083,644 "," 237,917,810 "," 251,095,060 "," 261,545,165 ","289,416,064"," 43,790 "," 44,673 "," 45,619 "," 46,466 ","48,128"," 56,258 "," 57,635 "," 57,976 "," 57,941 ","61,736",,,,,,,,,
106011110,Dungog," 4,723 "," 4,827 "," 4,910 "," 5,021 ","5,123", 48 , 48 , 48 , 48 , 48 ," 240,137,642 "," 247,605,036 "," 257,515,068 "," 267,847,798 ","283,919,111"," 39,901 "," 41,152 "," 41,469 "," 42,515 ","44,222"," 50,844 "," 51,296 "," 52,447 "," 53,346 ","55,420",,,,,,,,,
106011111,Kurri Kurri - Abermain," 7,932 "," 8,168 "," 8,487 "," 8,855 ","9,366", 41 , 41 , 40 , 40 , 39 ," 409,057,462 "," 423,961,925 "," 448,247,798 "," 482,166,646 ","526,349,318"," 44,246 "," 45,134 "," 46,679 "," 48,490 ","50,235"," 51,571 "," 51,905 "," 52,816 "," 54,451 ","56,198",,,,,,,,,
106011112,Singleton," 8,644 "," 8,630 "," 8,913 "," 9,139 ","9,219", 41 , 42 , 41 , 41 , 41 ," 636,710,105 "," 629,063,796 "," 630,453,313 "," 661,671,616 ","684,947,701"," 54,563 "," 54,866 "," 54,152 "," 57,395 ","58,486"," 73,659 "," 72,893 "," 70,734 "," 72,401 ","74,297",,,,,,,,,
106011113,Singleton Region," 2,821 "," 2,666 "," 2,811 "," 2,910 ","2,962", 46 , 46 , 46 , 46 , 46 ," 184,657,087 "," 178,526,050 "," 176,451,762 "," 190,033,546 ","201,521,381"," 46,197 "," 48,370 "," 47,378 "," 49,836 ","50,522"," 65,458 "," 66,964 "," 62,772 "," 65,304 ","68,036",,,,,,,,,
106021114,Maitland," 3,137 "," 3,386 "," 3,722 "," 3,906 ","4,121", 39 , 38 , 38 , 38 , 38 ," 184,947,530 "," 200,394,431 "," 224,927,617 "," 242,053,880 ","259,571,025"," 47,404 "," 49,752 "," 51,139 "," 53,182 ","54,241"," 58,957 "," 59,183 "," 60,432 "," 61,970 ","62,987",,,,,,,,,
106021115,Maitland - East," 14,264 "," 14,472 "," 14,952 "," 15,497 ","15,893", 42 , 42 , 42 , 42 , 42 ," 827,608,779 "," 848,499,655 "," 880,711,697 "," 940,864,558 ","994,327,524"," 48,653 "," 49,205 "," 50,000 "," 51,152 ","52,923"," 58,021 "," 58,630 "," 58,903 "," 60,713 ","62,564",,,,,,,,,
106021116,Maitland - North," 4,300 "," 4,363 "," 4,497 "," 4,702 ","4,874", 44 , 44 , 45 , 45 , 44 ," 300,495,815 "," 307,280,051 "," 324,864,182 "," 345,041,801 ","359,785,334"," 53,751 "," 53,756 "," 55,196 "," 57,239 ","57,585"," 69,883 "," 70,429 "," 72,240 "," 73,382 ","73,817",,,,,,,,,
106021117,Maitland - West," 10,850 "," 11,317 "," 11,740 "," 12,168 ","12,679", 39 , 39 , 39 , 39 , 39 ," 659,529,568 "," 680,127,944 "," 714,225,598 "," 766,926,355 ","809,186,760"," 48,838 "," 49,024 "," 49,913 "," 50,800 ","52,990"," 60,786 "," 60,098 "," 60,837 "," 63,028 ","63,821",,,,,,,,,
106021118,Thornton - Millers Forest," 5,601 "," 5,846 "," 6,447 "," 6,938 ","7,464", 42 , 41 , 41 , 40 , 39 ," 334,269,971 "," 353,306,435 "," 396,374,923 "," 442,102,367 ","489,248,263"," 50,942 "," 52,047 "," 53,826 "," 56,532 ","58,635"," 59,680 "," 60,436 "," 61,482 "," 63,722 ","65,548",,,,,,,,,
106031119,Anna Bay," 3,018 "," 3,050 "," 3,089 "," 3,187 ","3,329", 46 , 46 , 46 , 46 , 47 ," 158,299,475 "," 156,911,583 "," 158,907,323 "," 170,970,394 ","183,860,583"," 39,921 "," 39,868 "," 40,039 "," 41,920 ","42,059"," 52,452 "," 51,446 "," 51,443 "," 53,646 ","55,230",,,,,,,,,
106031120,Lemon Tree Passage - Tanilba Bay," 2,957 "," 3,023 "," 3,058 "," 3,141 ","3,189", 48 , 48 , 48 , 48 , 48 ," 141,939,266 "," 147,964,560 "," 149,663,149 "," 152,082,391 ","160,831,256"," 40,701 "," 41,338 "," 41,296 "," 40,967 ","42,683"," 48,001 "," 48,946 "," 48,942 "," 48,418 ","50,433",,,,,,,,,
106031121,Nelson Bay Peninsula," 11,235 "," 11,427 "," 11,761 "," 11,970 ","12,173", 51 , 51 , 51 , 51 , 51 ," 571,953,220 "," 585,436,863 "," 616,656,184 "," 632,451,832 ","672,849,415"," 37,299 "," 37,726 "," 38,227 "," 39,719 ","40,786"," 50,908 "," 51,233 "," 52,432 "," 52,836 ","55,274",,,,,,,,,
106031122,Raymond Terrace," 6,544 "," 6,413 "," 6,598 "," 6,705 ","6,859", 42 , 42 , 42 , 42 , 42 ," 324,418,288 "," 322,510,685 "," 335,162,738 "," 347,845,636 ","358,880,037"," 43,981 "," 45,282 "," 45,696 "," 47,456 ","48,288"," 49,575 "," 50,290 "," 50,798 "," 51,879 ","52,323",,,,,,,,,
106031123,Seaham - Woodville," 3,297 "," 3,303 "," 3,442 "," 3,524 ","3,496", 46 , 46 , 46 , 47 , 47 ," 197,386,501 "," 208,907,522 "," 220,442,259 "," 234,447,294 ","227,128,671"," 46,034 "," 47,357 "," 49,064 "," 51,294 ","51,384"," 59,869 "," 63,248 "," 64,045 "," 66,529 ","64,968",,,,,,,,,
106031124,Tea Gardens - Hawks Nest," 2,337 "," 2,469 "," 2,617 "," 2,700 ","2,716", 58 , 59 , 60 , 60 , 60 ," 100,023,572 "," 112,639,989 "," 120,269,619 "," 123,818,064 ","125,726,488"," 29,032 "," 29,089 "," 30,506 "," 31,915 ","32,152"," 42,800 "," 45,622 "," 45,957 "," 45,859 ","46,291",,,,,,,,,
106031125,Williamtown - Medowie - Karuah," 7,076 "," 7,188 "," 7,422 "," 7,604 ","7,861", 43 , 43 , 44 , 44 , 44 ," 392,987,684 "," 404,112,205 "," 423,442,091 "," 448,479,510 ","474,359,250"," 47,207 "," 48,108 "," 48,963 "," 50,305 ","52,327"," 55,538 "," 56,220 "," 57,052 "," 58,979 ","60,343",,,,,,,,,
106041126,Muswellbrook," 6,113 "," 6,017 "," 6,105 "," 6,221 ","6,394", 41 , 41 , 41 , 41 , 40 ," 425,822,264 "," 415,949,495 "," 407,647,140 "," 422,988,754 ","449,628,467"," 53,011 "," 53,156 "," 52,531 "," 54,767 ","56,157"," 69,658 "," 69,129 "," 66,773 "," 67,994 ","70,320",,,,,,,,,
106041127,Muswellbrook Region," 2,124 "," 2,071 "," 2,160 "," 2,203 ","2,202", 44 , 44 , 45 , 45 , 46 ," 130,868,986 "," 130,847,791 "," 132,028,576 "," 137,372,764 ","141,601,220"," 46,699 "," 47,331 "," 48,224 "," 50,219 ","51,358"," 61,614 "," 63,181 "," 61,124 "," 62,357 ","64,306",,,,,,,,,
106041128,Scone," 3,765 "," 3,546 "," 3,507 "," 3,508 ","3,532", 41 , 43 , 44 , 43 , 42 ," 289,652,473 "," 223,444,044 "," 220,660,931 "," 219,802,994 ","317,661,188"," 43,338 "," 47,280 "," 48,567 "," 48,997 ","50,651"," 76,933 "," 63,013 "," 62,920 "," 62,658 ","89,938",,,,,,,,,
106041129,Scone Region," 4,075 "," 4,054 "," 4,264 "," 4,342 ","4,341", 45 , 44 , 45 , 45 , 45 ," 236,870,685 "," 233,035,319 "," 232,083,018 "," 249,356,151 ","236,717,978"," 42,914 "," 44,083 "," 43,901 "," 45,308 ","46,601"," 58,128 "," 57,483 "," 54,428 "," 57,429 ","54,531",,,,,,,,,
107011131,Dapto - Avondale," 11,696 "," 11,927 "," 12,294 "," 12,589 ","12,748", 43 , 43 , 43 , 43 , 42 ," 609,683,802 "," 627,634,037 "," 658,373,899 "," 696,053,837 ","730,000,700"," 44,104 "," 45,198 "," 46,418 "," 47,798 ","50,134"," 52,128 "," 52,623 "," 53,552 "," 55,291 ","57,264",,,,,,,,,
107011132,Horsley - Kembla Grange," 4,599 "," 4,786 "," 5,285 "," 5,558 ","5,904", 41 , 41 , 41 , 40 , 40 ," 276,381,153 "," 291,710,450 "," 324,688,233 "," 356,481,883 ","394,050,755"," 51,418 "," 51,784 "," 53,093 "," 55,629 ","57,914"," 60,096 "," 60,951 "," 61,436 "," 64,139 ","66,743",,,,,,,,,
107011133,Port Kembla Industrial, np , np , np , np , 3 , np , np , np , np , 34 , np , np , np , np ,"184,578", np , np , ma , np ,"62,115", np , np , np , np ,"61,526",,,,,,,,,
107011134,Unanderra - Mount Kembla," 8,559 "," 8,539 "," 8,700 "," 8,777 ","8,839", 44 , 44 , 43 , 44 , 44 ," 521,380,014 "," 526,848,057 "," 537,902,913 "," 562,690,109 ","589,232,648"," 48,479 "," 49,032 "," 50,095 "," 52,830 ","54,523"," 60,916 "," 61,699 "," 61,828 "," 64,110 ","66,663",,,,,,,,,
107011545,Berkeley - Lake Heights - Cringila," 5,943 "," 6,066 "," 6,281 "," 6,427 ","6,544", 41 , 41 , 41 , 41 , 40 ," 291,457,226 "," 300,120,362 "," 316,997,317 "," 334,515,398 ","354,144,215"," 42,373 "," 42,856 "," 43,701 "," 45,383 ","47,058"," 49,042 "," 49,476 "," 50,469 "," 52,048 ","54,117",,,,,,,,,
107011546,Port Kembla - Warrawong," 3,883 "," 3,912 "," 4,129 "," 4,224 ","4,301", 42 , 42 , 42 , 41 , 41 ," 192,854,289 "," 200,693,686 "," 208,318,547 "," 221,791,668 ","237,601,492"," 41,155 "," 43,005 "," 43,305 "," 44,953 ","47,012"," 49,666 "," 51,302 "," 50,453 "," 52,507 ","55,243",,,,,,,,,
107011547,Windang - Primbee," 1,954 "," 1,932 "," 2,060 "," 2,122 ","2,110", 46 , 46 , 45 , 45 , 45 ," 102,193,175 "," 103,488,727 "," 111,442,189 "," 116,802,530 ","123,049,147"," 42,913 "," 45,337 "," 45,416 "," 46,509 ","49,990"," 52,299 "," 53,566 "," 54,098 "," 55,044 ","58,317",,,,,,,,,
107021135,Illawarra Catchment Reserve, np , np , 3 , np , 6 , np , np , 35 , np , 51 , np , np ," 234,161 ", np ,"407,223", np , np ," 59,411 ", np ,"62,199", np , np ," 78,054 ", np ,"67,871",,,,,,,,,
107031136,Albion Park - Macquarie Pass," 7,874 "," 7,983 "," 8,292 "," 8,780 ","9,350", 41 , 41 , 41 , 41 , 40 ," 451,666,148 "," 468,129,777 "," 482,394,288 "," 531,119,188 ","578,470,651"," 49,099 "," 51,428 "," 50,955 "," 53,031 ","54,601"," 57,362 "," 58,641 "," 58,176 "," 60,492 ","61,869",,,,,,,,,
107031137,Albion Park Rail," 3,486 "," 3,558 "," 3,559 "," 3,604 ","3,693", 42 , 41 , 42 , 42 , 41 ," 173,365,945 "," 183,454,951 "," 186,034,918 "," 191,602,782 ","204,524,416"," 43,486 "," 45,404 "," 46,357 "," 47,821 ","49,728"," 49,732 "," 51,561 "," 52,272 "," 53,164 ","55,382",,,,,,,,,
107031138,Kiama," 4,483 "," 4,536 "," 4,695 "," 4,809 ","4,879", 50 , 50 , 50 , 50 , 50 ," 262,696,096 "," 275,604,257 "," 284,683,658 "," 292,225,046 ","313,949,115"," 43,091 "," 43,323 "," 43,059 "," 44,405 ","47,009"," 58,598 "," 60,759 "," 60,635 "," 60,766 ","64,347",,,,,,,,,
107031139,Kiama Downs - Minnamurra," 3,622 "," 3,686 "," 3,654 "," 3,678 ","3,675", 47 , 46 , 46 , 47 , 47 ," 216,370,859 "," 225,866,044 "," 223,129,047 "," 231,228,982 ","235,520,896"," 46,017 "," 48,832 "," 49,110 "," 50,556 ","50,279"," 59,738 "," 61,277 "," 61,064 "," 62,868 ","64,087",,,,,,,,,
107031140,Kiama Hinterland - Gerringong," 4,542 "," 4,627 "," 4,730 "," 4,859 ","4,902", 49 , 49 , 49 , 49 , 49 ," 265,738,260 "," 285,248,218 "," 300,074,850 "," 313,165,927 ","322,920,033"," 42,969 "," 45,224 "," 46,842 "," 48,070 ","48,845"," 58,507 "," 61,649 "," 63,441 "," 64,451 ","65,875",,,,,,,,,
107031141,Shellharbour - Flinders," 8,972 "," 9,324 "," 9,840 "," 10,257 ","10,609", 42 , 43 , 43 , 43 , 43 ," 557,861,499 "," 589,156,414 "," 620,716,037 "," 665,996,861 ","716,404,344"," 49,845 "," 51,037 "," 51,583 "," 53,138 ","55,507"," 62,178 "," 63,187 "," 63,081 "," 64,931 ","67,528",,,,,,,,,
107031142,Shellharbour - Oak Flats," 5,291 "," 5,500 "," 5,559 "," 5,611 ","5,731", 44 , 43 , 43 , 44 , 43 ," 285,825,499 "," 303,454,323 "," 303,600,697 "," 317,578,191 ","336,260,305"," 45,232 "," 46,133 "," 46,309 "," 48,228 ","49,834"," 54,021 "," 55,174 "," 54,614 "," 56,599 ","58,674",,,,,,,,,
107031143,Warilla," 9,168 "," 9,356 "," 9,411 "," 9,702 ","9,775", 43 , 43 , 43 , 43 , 43 ," 451,275,698 "," 474,069,839 "," 475,780,066 "," 506,798,340 ","528,373,212"," 42,072 "," 43,883 "," 44,163 "," 46,175 ","47,760"," 49,223 "," 50,670 "," 50,556 "," 52,236 ","54,054",,,,,,,,,
107041144,Balgownie - Fairy Meadow," 11,008 "," 11,038 "," 11,345 "," 11,619 ","11,927", 44 , 44 , 44 , 44 , 44 ," 654,084,342 "," 666,594,707 "," 684,778,298 "," 729,724,795 ","779,397,648"," 45,891 "," 47,421 "," 47,432 "," 49,693 ","51,197"," 59,419 "," 60,391 "," 60,359 "," 62,804 ","65,347",,,,,,,,,
